id,objectid,display_template,object_location,image_small,image_thumb,image_alt_text,title,creator,partof_title,creator_partof,place,publisher,volume,date,pages,format,fulltext,notes,subject,call_number,collection,title_item,author_item,in,author_book,title_book
264,object00264,record,,,,,Fundy Folklore: 81st anniversary of devastating Saxby Gale,"Steeves, Mamie E.",Moncton Times,,,,,"October 4,1950",,,,,Saxby Gale;Storms;Tides;Marshes;Disasters,BELL PF:  SAXBY GALE,"W.P. Bell Collection of Acadiana, Pamphlet File",Fundy Folklore: 81st anniversary of devastating Saxby Gale,"Steeves, Mamie E.",,,Moncton Times
265,object00265,record,,,,,"WThe Saxby Gale (Meet your weatherman, CBC Maritime and Newfoundland Networks, Series VIII Script 9)","Hornstein, R.A.",,,,CBC,,"Sunday December 20, 1953",4p.,,,,"Dominion Public Weather Office;Saxby, James;Saxby Gale;Hurricanes;Storms;Tides;Marshes",BELL PF: Saxby Gale,"W.P. Bell Collection of Acadiana, Pamphlet File",,,,"Hornstein, R.A.","WThe Saxby Gale (Meet your weatherman, CBC Maritime and Newfoundland Networks, Series VIII Script 9)"
266,object00266,record,,,,,The Saros and the Saxby Tide,"Desplanque, Conrad",,,,Unpublished,,1974,12p.,,,,"Saxby, James;Tides;Saxby Gale;Marshes;Dykes;Storms;Disasters;Hurricanes;Astronomy",BELL PF: SAXBY GALE,"W.P. Bell Collection of Acadiana, Pamphlet File",,,,"Desplanque, Conrad",The Saros and the Saxby Tide
267,object00267,record,,,,,The Saxby Gale,"Elliott, Shirly B.",Journal of Education (Nova Scotia),,,,"Vol. 11, no 1 Series 5",(Oct. 1961):,49-54.,,,,Saxby Gale;Marshes;Dykes;Storms;Floods;Disasters,BELL PF: SAXBY GALE;|CA2 NVE J52,W.P. Bell Collection of Acadiana;|Government Publications,The Saxby Gale,"Elliott, Shirly B.",,,Journal of Education (Nova Scotia)
268,object00268,record,,,,,Colonel Alexander McNutt and the Pre-Loyalist settlements of Nova Scotia,"Raymond, W. O.",,,Ottawa,Royal Society of Canada,,1911,125.,,,"Originally published: Ottawa : Royal Society of Canada, 1911. (Proceedings and transactions of the Royal Society of Canada ; ser. 3, v.","Settlement;Maps;McNutt, Alexander, 1725?-1811.",FC 2321.2 R32 1911,W.P. Bell Collection of Acadiana,Colonel Alexander McNutt and the Pre-Loyalist settlements of Nova Scotia,"Raymond, W. O.",,,
269,object00269,record,,,,,Rhode Island settlers on the French lands in Nova Scotia in 1760 and 1761,"Eaton, A.W.H.",Americana,,,,Vol. 10,(Jan. Feb. March 1915):,1-43;  83-104;  179-197.,,,,"Rhode Island settlers;Delesdernier, Moses;Uniacke, Richard John",FC 2321.25 E3 1915a,W.P. Bell Collection of Acadiana;,Rhode Island settlers on the French lands in Nova Scotia in 1760 and 1761,"Eaton, A.W.H.",,,Americana
270,object00270,record,,,,,The Rhode Island Emigration to Nova Scotia,"Huling, Ray Greene",,,"Providence, R.I.",,,1889,49 p.,Book;Microform;Full Text,"FT Excerpt:APPENDIX A III pp.38-4; [ Alphabetized] List of  the Subscribers for the Township lying on the  Tantramar River  represented by Benjamin Thurber, Cyprian Sterry and Edmund Jenkes . Taken from the records of the Province Library in Halifax. The date is probably 1761  but possibly 1760. . . . . . . . . . . . . . . . . . . . . . . . . . .
ALBERSON, David;  ALLEN, Jona.; ANGEL, Charles; ANGEL, Nedebiah;ANGEL, Step.; BATEMAN, Peter;  BLUNT, Isaac;BRIGGS, Samuel;  BROWN, Nathaniel; BROWN, John; BROWN, Jos.; BOWEN, Thomas; BROWN, Richard; BROWN, William;  BROWNEL, Jer.; BUCKLIN, Nathaniel;  BURDEN, Jos.;  BURR, David;  CAHOON, Daniel ; CARPENTER, Stephen;  CASE, Nathan; CASE, Nathan Jr.;  CASEY, Oliver; CLARK, Samuel;  CLARK, William;  COLE, Isaac;  COTTLE, Sarah;  COUSINS, Benjamin;  COMSTOCK, Ichabod;  CURREY, Samuel;  DAVIS, Robert;  DAY, James;  DAY, James Jr.;  DEXTER, Jeremiah;  DEXTER, John;  DOWNER, John;  EASTERBROOKS, Valentine;  EMERSON, William;  FIELD, Thomas;  FINCH, Henry;  FINNEY, Nathaniel;  FORD, William;  FOSTER,;  FOSTER, James;  FOSTER, John;  FOSTER, Robert;  FRY , Abiel; FRY Simon;  GILES Edward;  GILES Nathan;  GOODSPEED Stephen;  GORMAN Benjamin;  HAWKINS Jas.;  HERN, Morris;  HEYLEY, Ezra;  HOLDEN, Gershom;  HOPKINS, Elisha;  HOWLAND, John;  INGOLS, Daniel; JENCKES,  Edmund;  JENCKES, James;  JENCKES, John;  JENCKES, Jonathan.;  JENCKES, Nathan;  JENCKES, Step.;  JENCKES, William;  KILBURN, Amasa;  KING, Obediah;  LETHREDGE, Samuel;  LUTHER, Seth;   MALAVERY, John;   MAN, Moses;   MAN, Oliver;   MASON, Aaron;  MASON, Noah;   MEDBERRY, Benjamin;   MORRIS, Woodbery;  MOTT, Samuel;  MULLIN, John;   MUZEY, James;   OLNEY, Abraham;  OLNEY, Charles;   OLNEY, Coggeshal;  OLNEY, James;   OLNEY, John;   OLNEY, John Jr.;   OLNEY, Jona.;   OLNEY, Joseph; OLNEY, Jos. Jr.; OLNEY, William;  OLNEY, William Jr.;  PACKER, Nathaniel;  PARKER, Peter; PEABODY, John;  PHILLIPS, William;  PIKE, Jonathan;   POTTER, Levi;POTTER, Robert;  POWER, John; RANDAL, Peter; ROBINS, Ebenezer;  ROBINSON, Benjamin;   SAMONS, Gilbert;   SHEARMAN, Samuel; SHELDON, William;  SMITH, Elisha;  SMITH, Gideon;  SMITH, John;  SPAULDING, Charles;   SPRAGUE, Obediah;   SPRAGUE, Rowland; STERRY, Cyprian; STERRY, Nathan; STERRY, Robert;   STERRY, Thomas; STEVENS, Bemsley; SWAN, Caleby;   SWAN, Francis; SWEET, Nehemiah;   SYMONS, Charles; TAYLOR, Jos.;THURBER, Benjamin;  THURBER, Daniel;   THURBER, Edward; THURBER, Samuel; TIFT, David;   TOOGOOD, Samuel;  TOWER, Jos.;TRIPP, Edmund;  TRIPP, John; TUCKER, Freelove;  WALCOT, William;  WATERS, David;  WEAR, Daniel;   WEAR, George;  WETHERBY, Samuel; WHEAT, Solo.; WHIPPLE, William;  WHIPPLE, W. Jr.;   WHITMAN, Jacob;  WIEVER, John? WILBUR, David;WILCOCKS, Daniel; WILLIAMS, Peleg;  WILSON, John;  WHITMAN, Noah;  WOODWARD, Nathanael;  WOODWARD, Robert;   WOODWARD, Thomas;  WOODWARD, Zeph'r;   YOUNG, Jno.; YOUNG, Samuel. . . . . . . . . . . . . .
On the back of the paper is written, ""List of Tantamar proprietors""  . . . "" A list of the settlers from Providence in  Rhode Island Colony"" . . . . . . . . . . . . . . . . . . . .  pp. 42-43 APPENDIX V [ Alphabetized] ""Return of the State of the Township of Sackville, 1770. Taken from the Province Library, Halifax"": . . . . . . . . . . . . . . ALVERSON,David; ALVERSON, William; BACON, Jacob; BAKER, William;  BARNES, John; BELLEW, Sam’l; BROWNELL, Jeremiah;   COLE, Jonathan; COLLINS, Joseph; COLLINS, Thomas;  FINNY, Caleb; DAY,John;  EASTERBROOKS, Valentine;  EDDY, Samuel; EMERSON, Benjamin; EMERSON, Ephraim; EMERSON, Samuel; FINNY, Calyb;   FINNY, Nath’l;  FOSTER, Robert; FULLER, Ezekial; FULLER, Jacob;  Hawkins, Daniel; HERVEY, Seth; HORTON, Isiah; IRONS, Samuel; IRONS, Thomas; JINKS,JENKES, James;JOHNSON, Stephen;  KELLUM  KILLAM, Amasa; LAWRENCE, William;  LETTIMORE LATTIMORE, Robert; LETTIMORE, Samuel;  LEWIS, Benjamnin; LEWIS, Samuel; MASON, Nathan; MASON, Nathaniel; MASON, Benjamin; OLNEY, John;  OLNEY, William;  PECK, John; REED READ Eliphalet; ROGERS, Samuel; ROUNDS, Nathan’l; SALISBURY, Ebeneezer; SALISBURY, Eben. Jr.;  SCOTT, Robert;  SHEARMAN, George; SHEARMAN, George Jr.; SIMMONS, Gilbert; SIMMONS, Job; SIMMONS, Nathan; SIMMONS, WILLIAM; smith,Gideon;  SPRAGUE, Joshua; TELLAND, Ameriah; TIFT, David;  TINGLEY, JOSIAH; Thomas, John; THORNTON, Israel;  TOWER, Benjamin; TOWER, Joseph; WARD, Nehemiah; WOOD, John; YOUNG, Gideon","Reprinted from the Narraganset Historical Register, vol. 7, April, 1889, pp. 89-135;|Also on CIHM # 07256",Rhode Island;Immigration;Emigration;Settlement;Planters;New England Settlers;Sackville Township;Tantramar;Proprietors;Lists,"FC 2321.25 H8 1889;|M 0360, No. 07256","W.P. Bell Collection of Acadiana;|W.P. Bell Collection of Acadiana, Microform Room;",,,,"Huling, Ray Greene",The Rhode Island Emigration to Nova Scotia
271,object00271,record,,,,,A monograph of the origins of settlements in the province of New Brunswick,"Ganong, William F.",,,Ottawa,Royal Society,,1904,185 p.,Book;Map,,,Settlement;Chignectou;Maps,FC 2471.9 .L3 G3 1904,W.P. Bell Collection of Acadiana;,,,,"Ganong, William F.",A monograph of the origins of settlements in the province of New Brunswick
272,object00272,record,,,,,The present state of Nova Scotia : with a brief account of Canada and the British islands on the coast of North America.,"Hollingsworth, S.",,,Edinburgh,W. Creech,,1787,221 p.,Book,,,,FC 2317.2 .H6 1787,W.P. Bell Collection of Acadiana;,,,,"Hollingsworth, S.",The present state of Nova Scotia : with a brief account of Canada and the British islands on the coast of North America.
273,object00273,record,,,,,,,,,,,35?,,,,,,,,,,,,,
275,object00275,record,,,,,A Family history of some Yorkshire Cooks,"Messenger, Norma Chapman",,,,the author,,1983,80 p.,Book,,,Cook family;Yorkshire settlers,CS 90 .C66 1983,W.P. Bell Collection of Acadiana;,,,,"Messenger, Norma Chapman",A Family history of some Yorkshire Cooks
277,object00277,record,,,,,A Narrative of an Extraordinary Escape out of the Hands of the Indians in the Gulph of St. Lawrence....,"Smethurst, Gamaliel|Ganong, W.F.",Collections of the New Brunswick Historical Society,,,,Vol. 6,1761;|1905,pp. 358-390.,Full Text;Periodical,"FT Excerpts:

WEDNESDAY, December 9.

THIS proved a fine morning—When we had got two leagues, came to a large river, called Chedaick 7—a large bay and an island make two entrances—this is the last large river we have to cross—we found it full of loose ice, which made it exceedingly difficult to get over—There were two rivers of smaller note, which I could not learn the names of —A seacow lifted its head out of the water, and came swimming after the canoe —the Frenchmen soon shot it—it had 2 large teeth out of water in the upper jaw pointing downwards—these serve for defence, to climb rocks with, &c.—A full grown sea-cow will make two barrels of oil in autumn, when they are fattest—they are easily killed with a ball—very unwieldy— much like Anson's sea-lions —I believe of the same species—this was larger than an ox—The French use the oil of these creatures to their meat—it is to me as rank as seal oil—The most noted places for their present resort, are the islands of Magdelines; and Point Miscou; but the sea-cows wild fowl, Indians, and beaver, will leave us as we settle in the country, and go to places less frequented—Came this day about nine leagues—I walked all the way, excepting crossing the rivers, &c.
....................................................................................................................
THUESDAY, December 10. LAST night frosty—the moon shone very bright when we went to sleep; but when we awoke this morning, it was a violent storm at east— Staid in the cabin all day.
....................................................................................................................
FRIDAY, December 11. THIS morning, though the wind was pretty high, set off in our canoe—(25) passed one small river,6 that runs to the southward—about four leagues from the place we lodged, came to another small river0—here we left our canoe, and set out with our baggage to cross the country7 — they call it ten miles to Bay Verte by land—Going up the river, the ice broke in with the two Frenchmen—they had been obliged to leave their keg of brandy, and had hugged it so close at parting, that they were a little light-headed—Returned back to our canoe, in order to lodge there all night.
....................................................................................................................


....................................................................................................................
SATURDAY, DECEMBER 12.

SET out this morning before day—went up a creek about a mile, and then took to the woods—There had fallen about a foot deep of snow, and it was froze over at top, so as to make it bear sometimes, and break in at others, with a prodigious number of fallen trees and brooks to cross, with broken wood and thick underbrush, made it almost impassable; these, with about twenty weight of baggage,and a heavy beaver coat I had to carry, made it too much for me—the Frenchmen were much heavier loaded— Sometimes we were obliged to creep on our hands and knees, under fallen trees, to climb over others; branches and stumps running into my legs and face, made it bad beyond description.—I thought I was very unfit to travel; to creep, my temper will not allow me, and to climb does not seem my talent, but to walk upright is my great desire; yet with that method, here, as in the great wood of worldly affairs, you cannot get forward—if you would advance, you must sometimes stoop, sometimes ambitiously climb, sometimes dirty yourself in nasty ways; bat at all events, drive thro' thick and thin. Thus moralizing, and stumbling on, push'd forward, with hopes of soon getting out of my difficulties; very often falling, and sometimes fainting, I arrived at Bay Verte, about an hour after Bun-set, almost fatigued to death—it would not have been possible for me to have gone half-a-mile farther—Found here some of the French vessels which Captain M'Kenzie had brought off with him, and a party of Highlanders, under a Serjeant's command. The fort here [Gaspereau] is destroyed,1 and the inhabitants removed—there has been a very pretty village here— the French had a communication from this place with the island St. John, Louisbourg, &c.—Lay all night in the block-house, or rather guardhouse the English are building.
....................................................................................................................
SUNDAY, DECEMBER 13.

WAS very thankful to the almighty Disposer of events, for leading me to a place of safety, and giving me strength and resolution to undergo the different trials I have been exercised with for these six weeks past—Set out to go to Fort Cumberland, called by the French Chignecto—this isthmus is fifteen miles across—pretty good road—Got a soldier to carry my baggage—reached it about sun-set—Fort Cumberland is situated at the top of the bay of Fundy, to the westward—there are two companies of soldiers here; one of Highlanders, another of Rangers—Captain M'Kenzie, of the Highlanders, is gone to Halifax—the commanding officer of the Rangers is Captain Danks1—To my great disappointment a vessel had sailed for Boston, about a week before, and the bay is now frozen up, which will occasion my stay here some time—So far the journal.
....................................................................................................................
Here ends the first part of Smethurst's book. The second part is of much less interest, particularly to New Brunswick readers; and accordingly I shall here give only a summary of it with an occasional passage of particular interest. It begins thus:—

 A Providental ESCAPE after a SHIPWRECK, in coming from the Island of ST. JOHN, in the Gulph of ST. LAWRENCE; with an ACCOUNT of the FISHERIES round that Island.
....................................................................................................................
I STAID at Cumberland till the winter was so fixed, as to go to Halifax on snowshoes—this is above an hundred miles—from thence I got a passage to New England—When I came to Marblehead, I found the brig had got safe there—the master, in his protest, swears that the wind was so high, a boat could not live; when the real truth was, he had been so frightened with the French account of the Indians, that to save himself, he left me to be sacrificed—Some masters of vessels make very free with the wind, when they have occasion to protest.
....................................................................................................................
He then mentions his attempts to establish a fishery in the Island of St. John (Prince Edward Island), including his erection of two storehouses at St. Peters, and the bringing of a crew from Marblehead, in Massachusetts, ""to cause an emulation."" He then describes somewhat fully the advantages of the island for the fisheries and the most profitable way of exploiting them. Then (on page 29) he begins a journal, with the date Monday, December 5, 1763, descriptive of his shipwreck when proceeding in a small schooner from Fort Amherst in the island to . . .
....................................................................................................................
Afterwards settled at Bale Verte. He is mentioned in an earlier document
of this series (these Collections, II., 166.)",,"Smethhurst, Gamaliel;Beausoleil;Brossard, dit Beausoleil Joseph;Danks, Benoni;Aboushagan;Seals;Mi'kmaq;Captivity Tales;Baie Verte;Fort Cumberland;Fort Beausejour;Personal Accounts;Journals",FC 2452 N45,W.P. Bell Collection of Acadiana,A Narrative of an Extraordinary Escape out of the Hands of the Indians in the Gulph of St. Lawrence....,"Smethurst, Gamaliel|Ganong, W.F.",,,Collections of the New Brunswick Historical Society
278,object00278,record,,,,,Farming in Nova Scotia in the Seventeenth century,"Firestone, O. J.",Public Affairs,,,,Vol.6,(1943,p. 152-158,,,,Agriculture;Farming,AP 5 P8,Journal Collection;,Farming in Nova Scotia in the Seventeenth century,"Firestone, O. J.",,,Public Affairs
279,object00279,record,,,,,"Extract of a letter from Col. Frye to his excellency the governour of Nova Scotia, dated Fort Cumberland, Chignecto, March 7, 1760.","Frye, Joseph",Collections of the Massachusetts Historical Society,,,,"Ser. 1, Vol. 10",1760;|1809,115-116.,Periodical,,,"Fort Cumberland;Frye, Joseph 1711-1794;Chignecto;Native peoples;Laurence, Paul;Michael,Augustine;Mi'kmaq;Chiefs;Algiman, Joseph, Chief of Chignecto;Letters;Personal Accounts",FC 61 M41,Journal Collection,"Extract of a letter from Col. Frye to his excellency the governour of Nova Scotia, dated Fort Cumberland, Chignecto, March 7, 1760.","Frye, Joseph",,,Collections of the Massachusetts Historical Society
280,object00280,record,,,,,Reassessment of Fundy Tidal power,Bay of Fundy Tidal Power Review Board,,,,,,1977,57p.,,,,Bay of Fundy;Tidal Power;Tides;Energy,PF: TIDAL POWER,"W.P. Bell Collection of Acadiana, Pamphlet File",,,,Bay of Fundy Tidal Power Review Board,Reassessment of Fundy Tidal power
281,object00281,record,,,,,"Methodism - A flame: Dorchester, New Brunswick Canada","Tizzard, Aubrey M.",,,"Newtonville, Ont.",R. & A. Tizzard,,1977,125p.,Book,,,"Methodists;Dorchester;Black, William 1760-1834;Pews;Fees;Cemeteries;Rockport;Fairview;Yorkshire Settlers;Wesleyans;Hangings;Sunday Schools;Women;Women's Missionary Society;Ladies Aid Society;United Church Women;Willing Workers Mission Bands;Sunshine Mission Bands;Ministers;United Church;Rockport;Baptist Church;Old Grey Church;Tantramar Mission;Fairview;Fairview Methodist Church;Rockport Methodist Church;Middleton Union Church;Rockland;Taylor Village;Woodpoint;Johnson'r Mills",BX 9882.8 D6 D6 1977,W.P. Bell Collection of Acadiana;,,,,"Tizzard, Aubrey M.","Methodism - A flame: Dorchester, New Brunswick Canada"
283,object00283,record,,,,,"The history of the Alison or Allison family in Europe and America, A.D. 1135 to 1893:giving an account of the family in Scotland, England, Ireland, Australia, Canada, and the United State","Morrison, Leonard Allison",,,Boston,Damrell and Upham,,1893,312 p.,,,,"Allison Family;Allison, Charles Frederick 1795-1858",CS 71 A45 1893,W.P. Bell Collection of Acadiana,,,,"Morrison, Leonard Allison","The history of the Alison or Allison family in Europe and America, A.D. 1135 to 1893:giving an account of the family in Scotland, England, Ireland, Australia, Canada, and the United State"
284,object00284,record,,,,,"A sketch of the Chandler family in Worcester, Massachusetts.","Sturgis, Elizabeth",,,"Worcester, Mass.",Charles Hamilton,,1903,37p.,,,,Chandler family,CS 71 C35 1903,W.P. Bell Collection of Acadiana;,,,,"Sturgis, Elizabeth","A sketch of the Chandler family in Worcester, Massachusetts."
285,object00285,record,,,,,"So soon forgotten: three thousand Fillmores, descendants of John, the Mariner, and his wife, Abagail (Tilton) Fillmore","Fillmore, Charles L.",,,Boston,Etter,,1984,716p.,,,,Fillmore family;Sackville;Jolicure;Fort Lawrence;New England Planters,CS 71 F5 1984,W.P. Bell Collection of Acadiana;,,,,"Fillmore, Charles L.","So soon forgotten: three thousand Fillmores, descendants of John, the Mariner, and his wife, Abagail (Tilton) Fillmore"
286,object00286,record,,,,,"The Tingley family revised: being a record of the descendants of Samuel Tingley of Malden, Mass.  in both the male and female lines.","Frye, Marion M.",,,Falls Church Va.,,6 vols.,1970 -,,,,,Tingley family,CS 71 T585 1970,W.P. Bell Collection of Acadiana;,,,,"Frye, Marion M.","The Tingley family revised: being a record of the descendants of Samuel Tingley of Malden, Mass.  in both the male and female lines."
287,object00287,record,,,,,"The Wood family, Sackville, N.B.: being a genealogy of the line from Thomas Wood, of Rowley Mass., born about 1634 to Josiah Wopod, of Sackville, N.B.","Kibbe, James A.",,,Sackville,J. Wood,,1904,"43,iii p.",,,,"Wood family;Wood, Josiah, 1843-1927;Ayer  Family;Palmer, Philip;Esterbrooks Family;Wood, Ruth",CS 71 W875 1904,W.P. Bell Collection of Acadiana;,,,,"Kibbe, James A.","The Wood family, Sackville, N.B.: being a genealogy of the line from Thomas Wood, of Rowley Mass., born about 1634 to Josiah Wopod, of Sackville, N.B."
288,object00288,record,,,,,"Acadian church records : 1679-1757 : being a compilation of miscellaneous baptismal, marriage, and funeral records","DeVille, Winston",,,New Orleans,Polyanthos,Vol. 2,1975,,,,,Acadians;Beaubassin;Vital Statistics;Births;Deaths;Marriages,CS 88 A25 D4 1975,W.P. Bell Collection of Acadiana;,,,,"DeVille, Winston","Acadian church records : 1679-1757 : being a compilation of miscellaneous baptismal, marriage, and funeral records"
289,object00289,record,,,,,Early families Revisited,"Kanner, Ken.",,,Moncton,the author,,1993,393 p.,,,,Family history;Lists;Westmorland County;Sackville,CS 88 N4 E34 1993,W.P. Bell Collection of Acadiana;,,,,"Kanner, Ken.",Early families Revisited
290,object00290,record,,,,,Cumberland County families,"Jowsey, Joan",,,Truro,The author,,1988,105 l.,,,,Cumberland County,CS 88 N6 J6 1988,W.P. Bell Collection of Acadiana;,,,,"Jowsey, Joan",Cumberland County families
292,object00292,record,,,,,A genealogical study,"Bell, Winthrop P.",,,Sackville,Tribune Press,,1962,292 p.,,,,Bell family;Pickard family;Allison Family;Sackville;Mount Allison,CS 90 B43 1962,W.P. Bell Collection of Acadiana,,,,"Bell, Winthrop P.",A genealogical study
293,object00293,record,,,,,The Miner family,"Johnson, Thomas Miner",,,Calais,Walter N. Miner,,1930?,96p.,,,,Mount Whatley;Miner family,CS 90 M52 1930a,W.P. Bell Collection of Acadiana;,,,,"Johnson, Thomas Miner",The Miner family
294,object00294,record,,,,,Memoir of Col. Jonathan Eddy of Eddington Me.:  with some account of the Eddy family and of the early settlers on the Penobscot River,"Porter, Joseph W.",,,Augusta,"Sprague, Owen and Nash",,1877,72p.,,,,"Eddy, Jonathan;Yorkshire settlers;American revolution;Eddy rebellion;Fort Cumberland",E 275 E21 1877a,W.P. Bell Collection of Acadiana;,,,,"Porter, Joseph W.",Memoir of Col. Jonathan Eddy of Eddington Me.:  with some account of the Eddy family and of the early settlers on the Penobscot River
295,object00295,record,,,,,"A return of the refugees of Nova Scotia, who left that province in the year 1776 with their former and present places of residence in the United States or elsewhere, June 1785.","Porter, Joseph W.",Memoir of Jonathan Eddy,,Augusta,"Sprague, Owen and Nash",,1877,pp.70-72.,,,,"Personal Accounts;Eddy, Jonathan;Maxwell, William;Ayer, Elijah;Rogers, Samuel;Killam, Amasa;Jenks, David;Throop, Josiah;Rowe, Zebulon;Cole, Ambrose;Eddy Rebellion;American Revolution;Lists",E 275 E21 1877a,W.P. Bell Collection of Acadiana;,"A return of the refugees of Nova Scotia, who left that province in the year 1776 with their former and present places of residence in the United States or elsewhere, June 1785.",,In:,"Porter, Joseph W.",Memoir of Jonathan Eddy
296,object00296,record,,,,,,,,,,,,,,,,,,,,,,,,
297,object00297,record,,,,,The Dorchester Chapmans - A Shiretown saga,"Petchey, Helen M.",,,Saint John,The author,,1991,14p.,Illustrated;Map;Portrait;Book,,,Dorchester;Maps;Chapman Family;Yorkshire Settlers;Methodists;Shipbuilding;Chapman shipyard;Anglican Church;Rockland;W.K. Chapman (Schooner);David Taylor (Barque);Robert Godfrey(Barque);J.B.Newcomb(Barque);Sarah M. Smith(Barque);W.P. Sherwood (Brig); Cavour (Brig);Shipyards;Maps,CS 90 C5 1991,W.P. Bell Collection of Acadiana,,,,"Petchey, Helen M.",The Dorchester Chapmans - A Shiretown saga
298,object00298,record,,,,,"The ice phenomena and the tides of the Bay of Fundy, considered in connection with the construction of the Baie Verte Canal","Hind, Henry Youl",Canadian Monthly,,,,Vol. 8,September 1875,189-203.,,,,Canals;Baie Verte Canal;Tides;Bay of Fundy;Cumberland Basin;Saxby Gale;Transportation,HE 401 C53 H5 1974,W.P. Bell Collection of Acadiana,"The ice phenomena and the tides of the Bay of Fundy, considered in connection with the construction of the Baie Verte Canal","Hind, Henry Youl",,,Canadian Monthly
299,object00299,record,,,,,Sackville New Brunswick (Directory),,McAlpine's Cumberland County Directory,,Halifax,Royal Print and Litho,,1916,pp.181-207.,,,,Directories;Sackville;Westmorland Parish;Sackville Parish;Botsford Parish,PF: SACKVILLE,"W.P. Bell Collection of Acadiana, Pamphlet File",Sackville New Brunswick (Directory),,In:,,McAlpine's Cumberland County Directory
300,object00300,record,,,,,"Boundaries of School Districts,  County of Westmorland, N.B.",New Brunswick. Board of Education,,,Fredericton,,,1874,19p.,,,,"Rand, Theodore H.;Education;Boundaries;School Districts",FC 2495 W4 N4 1874,W.P. Bell Collection of Acadiana;,,,,New Brunswick. Board of Education,"Boundaries of School Districts,  County of Westmorland, N.B."
301,object00301,record,,,,,"Sackville, Westmorland County",,Moncton City and Westmorland and Albert County Directory,,St. John,H.M. McAlpine Directory Co.,,1908,pp.195-214.,,,,Directories;Sackville,FC 2498.2 M6  1908,W.P. Bell Collection of Acadiana,"Sackville, Westmorland County",,In:,,Moncton City and Westmorland and Albert County Directory
302,object00302,record,,,,,Westmorland County,,Moncton City and Westmorland and Albert County Directory,,St. John,H.M. McAlpine Directory Co.,,1908,pp.215-292.,,,,Directories;Westmorland County,FC 2498.2 M6 1908,W.P. Bell Collection of Acadiana,Westmorland County,,In:,,Moncton City and Westmorland and Albert County Directory
303,object00303,record,,,,,"Changes in Farming activity in Sackville, 1941-1974.","Baird, Jim",,,Sackville,Unpublished essay,,1974,14p.,,,,Sackville;Agriculture;Marshes,M 5653,"W.P. Bell Collection of Acadiana, Microform Room;",,,,"Baird, Jim","Changes in Farming activity in Sackville, 1941-1974."
304,object00304,record,,,,,A history of the marshlands as an agricultural area:  current problems and possible solutions.,"Baird, Jim",,,Sackville,Unpublished essay,,1975,12p.,,,,Sackville;Tantramar Marsh;Agriculture;Maps;Marshes,M 5653,"W.P. Bell Collection of Acadiana, Microform Room;",,,,"Baird, Jim",A history of the marshlands as an agricultural area:  current problems and possible solutions.
305,object00305,record,,,,,Sackville Marine Hospital,"Algee, Boyd",,,Sackville,Unpublished essay,,1974,15p.,,,,"Botsford, William;Sackville Marine Hospital;Westcock;Botsford House",M 5653,"W.P. Bell Collection of Acadiana, Microform Room",,,,"Algee, Boyd",Sackville Marine Hospital
306,object00306,record,,,,,"Brows, Scows and Lumberjacks","Alward, Dale",Geography Essays,,Sackville,Mount Allison,,1977,27p.,,,Unpublished essay,Lumber;Lumber Trade;Lumbering;Port of Sackville;Shipping;Chignecto;Sackville;Dorchester;Rockport;Baie Verte;Port Elgin,M 5653,"W.P. Bell Collection of Acadiana, Microform Room","Brows, Scows and Lumberjacks","Alward, Dale",In:,,Geography Essays
307,object00307,record,,,,,The Cumberland Basin Quarrysmiths: a geographical and economic analysis of a local trade,"Alward, Dale",Geography Essays,,Sackville,Unpublished essay,,1976,20p.,Microform,,,Quarries;Quarrying;Commerce;Chignecto;Grindstones;Read's Quarry;Olive Freestone Co.;Rockport;Businesses;Coastal Trade,M 5653,"W.P. Bell Collection of Acadiana, Microform Room;",The Cumberland Basin Quarrysmiths: a geographical and economic analysis of a local trade,"Alward, Dale",In:,,Geography Essays
308,object00308,record,,,,,Rest in Peace: three Sackville cemeteries,"Berry, Susan",,,Sackville,Unpublished essay,,1972,33p.,,,,Cemeteries;Sackville,M 5653,"W.P. Bell Collection of Acadiana, Microform Room",Rest in Peace: three Sackville cemeteries,"Berry, Susan",,,
309,object00309,record,,,,,The Chignecto footcloth: utilization of the marshes and settlement in the Chignecto region,"Beal, George",,,Sackville,Unpublished,,1976,17p.,,,Unpublished essay.,Marshes;Settlement;Chignecto;Maps,M 5653,W.P. Bell Collection of Acadiana,The Chignecto footcloth: utilization of the marshes and settlement in the Chignecto region,"Beal, George",,,
310,object00310,record,,,,,Sackville cemeteries,"Bowden, Susan",,,Sackville,Unpublished essay,,1972,15p.,Microform,,,Sackville;Cemeteries,M 5353,"W.P. Bell Collection of Acadiana, Microform Room;",Sackville cemeteries,"Bowden, Susan",,,
311,object00311,record,,,,,The rise and fall of the Sackville Hotel,"Brunke, Rhonda C",,,Sackville,Unpublished essay,,1975,10p.,,,,Sackville Hotel,M 5653,"W.P. Bell Collection of Acadiana, Microform Room",The rise and fall of the Sackville Hotel,"Brunke, Rhonda C",,,
312,object00312,record,,,,,Shipbuilding in the Port of Sackville,"Burton, Edward",Geography Essays,,Sackville,Unpublished essay,,1972,11p.,Illustrated;Map;Microform,,,Sackville;Shipbuilding;Maps,M 5653,"W.P. Bell Collection of Acadiana, Microform Room;",Shipbuilding in the Port of Sackville,"Burton, Edward",In:,,Geography Essays
