id,objectid,display_template,object_location,image_small,image_thumb,image_alt_text,title,creator,partof_title,creator_partof,place,publisher,volume,date,pages,format,fulltext,notes,subject,call_number,collection,title_item,author_item,in,author_book,title_book
16,object00016,record,,,,,Voyagers to the West:  A passage in the peopling of America on the eve of the Revolution.,"Bailyn, Bernard",,,New York,Knopf,,1986,668p.,,,,Yorkshire settlers;Land settlement;Emigration;Maps;Methodism;Westmorland County;Cumberland County;Yorkshire England,JV 7618 N7 B35 1987,W.P. Bell Collection of Acadiana,,,,"Bailyn, Bernard",Voyagers to the West:  A passage in the peopling of America on the eve of the Revolution.
17,object00017,record,,,,,Bishop Black and his Preachers.,"Betts, E. Arthur",,,"Sackville,  N.B.",Tribune Press,,1976,,Book,,,"Cumberland County;Black, William;Westmorland County;Methodists;Petitcodiac;Sackville;Amherst;Yorkshire settlers;Pointe De Bute;Religion",BX 8252 M3 B4 1976,W.P. Bell Collection of Acadiana,,,,"Betts, E. Arthur",Bishop Black and his Preachers.
18,object00018,record,,,,,Settlement patterns in Maritime Canada 1687-1786.,"Bird, Brian",Geographical Review,,,,Vol. 50,1955,385-404,,,,Yorkshire settlers;Westmorland County;Cumberland County;Land settlement;Acadians;Acadia;Methodists;Emigration;New England;Planters;Loyalists,G 1 G4,Journal Collection,Settlement patterns in Maritime Canada 1687-1786.,"Bird, Brian",,,Geographical Review
19,object00019,record,,,,,A century at Chignecto : the key to old Acadia,"Bird, Will R.",,,Toronto,Ryerson,,1928,404 p,,,,"Eddy Rebellion;Eddy, Jonathan;American Revolution;Fort Cumberland;Fort Beausejour;Fort Lawrence;Acadians;Deportation;Yorkshire Settlers;Chignecto",FC 2345 C5 B53 1928,W.P. Bell Collection of Acadiana,,,,"Bird, Will R.",A century at Chignecto : the key to old Acadia
20,object00020,record,,,,,"A list and number of persons who have arrived in Nova Scotia from England since the beginning of May, 1774.",Nova Scotia. Public Archives.,Annual Report of the Public Archives of Nova Scotia,,Halifax,King's Printer,,"1774, 1935",pp. 34-38.,Full Text,"Ft Excerpt:JENNY (SHIP);

DATE: 10 April 1775;
DEPARTING: Hull, Yorkshire;
ARRIVING: Fort Cumberland, Nova Scotia;

1.   William Black   M 43 Linen Draper Having made a purchase is going with his family to reside there;
2.   Elizabeth Black F 36 Wife of William Black, 43;
3.   William Black  M 14 Child of William Black, 43 and his wife Elizabeth Black, 36;
4.   Richard Black M 11 Child of William Black, 43 and his wife Elizabeth Black, 36;
5.   John Black  M 15 Child of William Black, 43 and his wife Elizabeth Black, 36;
6.  Thomas Black  M  9 Child of William Black, 43 and his wife Elizabeth Black, 36;
7.   Sarah Black F  7 Child of William Black, 43 and his wife Elizabeth Black, 36;
8.   Mathew Lodge M 20 House Carpenter. Going to seek a better livelihood ;
9. Elizabeth Redfield  F 25 Servant. Going to seek a better livelihood;
10. Jane Hurdy F 16 Servant. Going to seek a better livelihood;
11. Elizabeth Beaver F 30 Servant. Housekeeper to the Governor;
12. Bridget Sedel F 38 Wife. Going with her children to her husband;
13. Mary Sedel F 7 Child  of Bridget Sedel, 38;
14. Francis Sedel M 6 Child of Bridget Sedel, 38;
15. Sarah Sedel F1 Child of Bridget Sedel, 38;
16. Christopher Horsman M 27 Farmer Going to seek a better livelihood;
17. Robert Colpitts M 28 Farmer.Going to seek a better livelihood;
18. Christopher Harper M 45 Farmer.Having made a purchase is going to reside there;
19.  Elizabeth Harper F 40 Wife of Christopher Harper, 45;
20. Hannah Harper F 15 Child of Christopher Harper, 45 and Elizabeth Harper, 40;
21. Elizabeth Harper F 14 Child of Christopher Harper, 45 and Elizabeth Harper, 40;
22. John Harper M 13 Child of Christopher Harper, 45 and Elizabeth Harper, 40;
23.  Thomas Harper M 12 Child of Christopher Harper, 45 and Elizabeth Harper, 40;
24.  Catharine Harper F  7 .Child of Christopher Harper, 45 and Elizabeth Harper, 40;
25.  Charlotte Harper F  6 Child of Christopher Harper, 45 and Elizabeth Harper, 40;
26.  William Harper M  4 Child of Christopher Harper 45 and Elizabeth Harper, 40;
27.  Thomas King  M 21 Blacksmith. Going to purchase or return;
28. William Johnson  M 28 Gentleman. Going to purchase or return;
29. Mary Lowry F 27 Wife.Going over to her husband;
30. Mary Lowerson F 27 Wife. Going over to her husband;
31. Thomas Wheatley M 53 Farmer.Going to purchase or return.
_________________________________________________________________________

ALBION (SHIP);
DEPARTING ; Port of Hull;
ARRIVING: to Fort Cumberland, N.S.;
DATE :   MARCH, 1774;

1. William Harland, 23 Farmer  To seek better livelihood;
2. John Coulson,20 Farmer To seek better livelihood;
3. Mary Coulson,20  Wife;
4. Jonathan Patison,19 Husbandman To seek better livelihood;
5. Nathaniel Smith,52  Farmer Their rents being raised by his landlord Mr Chapman they have made a purchase of some land in North America;
6. Elizabeth Smith  52  Wife;
7. Nathaniel Smith  22  Child;
8. John Smith   18  Child;
9. Robert Smith  9  Child;
10. Elizabeth Smith   7  Child;
11. Rachael Smith 22  Child;
12. Rachael Smith 22  Wife of Nathanial Jr.;
13. Mary Veckel  20  Maid Servant   To seek for better employment;
14. Hannah Veckel   20  Maid Servant;
15. Charles Simpson  22  Husbandman To seek for better employment;

16. Thomas Scurr 34  Farmer.The advance of his rents by Francis Smith Jun. Esq., his landlord, he is going to purchase land abroad;
17. Elizabeth Scurr   39  Wife;
18. Thomas Scurr 9  Child;
19. William Scurr 7  Child;
20. Charles Scurr 5  Child;
21.Elizabeth Scurr 3  Child;
22. Alice Scurr 1  Child;
23. Bryan Kay 28  Farmer To seek for better livelihood;
24. Dorothy Kay          42  Wife;
25. Robert Kay           42  His brother;
26. Elizabeth Kay        16  Child;
 27.  Hannah Kay           14  Child;
 28. Sarah Kay            12  Child;
 29. Ann Kay               9  Child;
 30. Jane Kay              7  Child;
 31. Anthony Thompson     20  Husbandman     To seek for better livelihood;
 32. Ann Atkinson         19  Servant        To seek for better livelihood;
 33. Ann Skelton          18  Servant;
 34. William Kay          20  Sailor         To seek for better livelihood;
 35. Joseph Palister      25  Labourer       To seek for better livelihood;
 36.   John Atkinson*       45  Labourer       To seek for better livelihood;
 37.   Frances Atkinson*    30  Wife           To seek for better livelihood;
 38.   Charles Atkinson*     6  Child;
 39.   Martha Atkinson*      4  Child;
 40.   Michael Atkinson*     3  Child;
 41.   John Atkinson*        1  Child;
 42.   John Reed            26  Husbandman     To seek for better livelihood;

 43.   George Reed          33  Farmer         On account of his rent being raised by his
                                            landlord Thomas Walker;

 44.   Hannah Reed          33  Wife;
 45.   Ann Reed              9  Child;
 46.   John Reed             6  Child;
 47.   Isabella Reed         4  Child;
 48.   George Reed           1  Child;
 49.   Mary Simpson         25  Servant        To seek a better livelihood;
 50.   Edward Peckett       11  Husbandman     To seek a better livelihood;
 51.   Lancelot Chapman     49  Farmer         On account of their rents being raised by the  Duke of Rutland so that they could not live;

 52.   Frances Chapman      42  Wife;
 53.   Thomas Chapman       18  Child;
 54.   Rachael Chapman      14  Child;
 55.   Frances Chapman      12  Child;
 56.   Martin Chapman       10  Child;
 57.  Ann Chapman           8  Child;
 58.  Lancelot Chapman      6  Child;
 59.   Hannah Chapman        4  Child
 60.   Mary Harrison        17  Maid servant   To seek for better livelihood;
 61.   Paul Cornforth       70  Farmer         To seek for better livelihood;
 62.   Phillis Cornforth    68  Wife;
 63.   William Cornforth    34  Farmer         To seek for better livelihood;
 64.   Mary Cornforth       26  Wife;
 65.   Elizabeth Cornforth   4  Child;
 66.   Mary Cornforth        1  Child;
 67.   Michael Taylor       45  Husbandman     To seek for better livelihood;
 68.   Ann Taylor           26  Wife;
 69.   Robert Charlton      17  Husbandman     To seek for better livelihood;
 70.   John Slee            22  Husbandman     To seek for better livelihood;
 71.   Thomas Harrison      24  Taylor         To seek for better livelihood;
 72.   George Taylor        25  Farmer         To seek for better livelihood;
 73.   Michael Taylor       23  Farmer         To seek for better livelihood;
 74.   Giles Pickett        41  Blacksmith     To seek for better livelihood;
 75.   Mary Pickett         38  Wife;
 76.   James Pickett        16  Child          Going with their parents;
 77.   John Pickett          7  Child;
 78.   Margaret Pickett      5  Child;
 79 .  William Pickett       1  Child;
 80.   John Savage          40  Labourer       Going to seek a better livelihood;
 81.   Elizabeth Savage     55  Wife;
 82.   Anthony Savage        9  Son;
 83.   John Dunning         24  Farmer         Going to seek a better livelihood;
 84.   John Hill            25  Farmer         Going to seek a better livelihood;
 85.   Jane Hill            28  Wife;
 86.   Thomas Hill           2  Child;
 87.   Elizabeth Hill        2  Child;
 88.   Mary Hill             1  Child;
 89.   James Handwick       34  Malter        On account of his rent being advanced;
 90.   Elizabeth Handwick   24  Wife;
 91.   Edward Fenwick       28  Labourer       Going to seek a better livelihood;
 92.   Robert Appleton      24  Husbandman     Going to seek a better livelihood;
 93.   Joseph Stockdale     24  Husbandman     Going to seek a better livelihood;
 94.   Thomas Lumley        45  Farmer         On account of his rent being raised by
                                            Mr. Knowsley his Landlord;

 95.   Ruth Lumley          44  Wife;
 96.   Diana Lumley         14  Child;
 97.   John Lumley           6  Child;
 98.   Thomas Shipley       31  Butcher        To seek a better livelihood;
 99.    Elizabeth Shipley    25  Wife;
100.   Sarah Shipley         3  Child;
101.   Thomas Shipley        1  Child;
102.   Brian Kay            20  Husbandman     To seek a better livelihood;.
103.   William Truman       52  Miller         On account of their rent being raised by
                                            Durcan Esquire their landlord;

104.    Ann Truman           58  Wife;
105.    William Truman       22  Grocer a Son;
106.    John Beys            24  Husbandman;
107.    Sarah Barr           21  Servant        A relation being dead they are going to
                                            settle their affairs;

108.   Richard Dobson       72  Gentleman      A relation being dead they are going to
                                            settle their affairs;

109.   William Pipes        49  Farmer         On account of their rent being advanced;
110.   William Pipes        22  Husbandman     On account of their rent being advanced;
111.   Jonathan Pipes       20  Husbandman     On account of their rent being advanced;
112.   John Smith           28  Husbandman     On account of their rent being advanced;
113.    Mary Smith           26  Servant;
114.    George Hunter        40  Farmer         In hopes of making a purchase;
115.   John Watson          33  Farmer         In hopes of making a purchase;
116.   Richard Lowerson     32  Husbandman     In hopes of making a purchase;
117.   John Johnson         27  Tanner         To seek a better livelihood;
118.   Martha Johnson       23  Wife;
119.   William Johnson       1  Child;
120.   Henry Scott          27  Husbandman     To seek a better livelihood;
121.   Mary Scott           29  Wife;
122.   Henry Scott           3  Child;
123.   Catharine Scott       1  Child;
124.   Charles Blinkey      33  Farmer         On account of his rent being raised by his
                                            landlord Jno. Wilkinson;

125.   Sarah Blinkey        33  Wife;
126.   Jane Blinkey          6  Child;
127.   Mary Blinkey          1  Child;
128.   William Atkinson     16  Tanner         To seek a better livelihood;
129.   William Chapman      44  Farmer         On account of his rent being raised by his
                                            landlord Lord Cavendish and all necessaries
                                            of life being so dear;

130.   Mary Chapman         42  Wife;
131.   William Chapman      19  Child;
132.   Thomas Chapman       17  Child;
133.   Jane Chapman         15  Child;
134.   John Chapman         13  Child;
135.   Mary Chapman          9  Child;
136.   Henry Chapman         7  Child;
137.   Jonathan Chapman      5  Child;
138.   Sarah Chapman         3  Child;
139 .  Ann Chapman           1  Child;
140 .  Israel Marshall      28  Husbandman     Rents being raised so high he goes in hope to   make a Purchase;

141.  Henry Hammond        31  Farmer         Rents being raised so high he goes in hope to make a Purchase;

142.   Margaret Hammond     27  Wife;
143.   Henry Hammond         5  Child;
144.   Jane Hammond          3  Child;
145.   Margaret Hammond      1  Child;
146.   Tristram Walker      27  Husbandman     To seek a better livelihood;
147.   William Robertson    15  Husbandman     To seek a better livelihood;
148.   Alice Dimond         24  Servant        To seek a better livelihood;
149.   Thomas Wilson        50  Joiner         To seek a better livelihood;
150.   James Wilson         19  Joiner         To seek a better livelihood;
151.   David Bennett        30  Farmer         On account of his rent being raised by
                                            Mr. Bulmer his landlord;

152.   Mary Bennett         30  Wife of David Bennett;
153.   Henry Charmick       31  Chandler       To seek a better livelihood;
154.   John Thompson        32  Farmer         On account of the great advance of rents
                                            and in hopes of purchasing;

155.   Joseph Thompson      26  Farmer         On account of the great advance of rents and in hopes of purchasing;

156.   Joshua Gildart       48  Husbandman     On account of the great advance of rents and in hopes of purchasing;

157.   Robert Leming   51  Husbandman;
158.   Robert Leming  17  Husbandman;
159.   John Gildart  19  Husbandman     To seek a better livelihood;
160.   Eleanor Harrison  48  Widow To seek a better livelihood;
161.  Miles Ainson 42  Blacksmith     To seek a better livelihood;
162.  Mary Ainson 30  Wife;
163.  Miles Ainson  6  Child;
164.  Thomas Ainson 3  Child;
165.  Mary Ainson  1  Child;
166.   Charles Clarkson     19  Husbandman     To seek a better livelihood;
167.   Richard Thompson     25  Farmer         Lord Bruce having raised his rent;
168.   William Sinton       21  Miller         To seek a better livelihood;
169.   Joseph Jacques       28  Farmer         On account of their rent being raised;
170.   Elenor Jacques       28  Wife;
171.   Richard Carter       27  Farmer         On account of their rent being raised;
172.   Robert Atkinson      28  Farmer         On account of their rent being raised;
173.   Ann Atkinson         21  Wife
174.   Diana Tatum          25  Servant        To seek a better livelihood;
175.   Ralph Sidell         29  Cartwright     To seek a better livelihood;
176.   Ann Weldon           38  Wife           Going to her husband who is settled abroad;
177.   Andrew Weldon        12  Child          Going to their father who is settled abroad;
 178.    Elizabeth Weldon      8  Child;
179.   Thomas Weldon         4  Child;
180.   Ann Weldon            1  Child;
181.   Jacob Blackburn      27  Servant;
182.   George Gibson        36  Miller;
183.   Thomas Little        27  Tanner         To seek for better livelihood;
184.   Ann Little           24  Wife           To seek for better livelihood;
185.   William Winn         27  Farmer         To seek for better livelihood;
186.   David Winn           17  Farmer         To seek for better livelihood;
187.    Mathew Fenwick       16  Servant        To seek for better livelihood;
188.     Mary Lowthier 21  Servant To seek for better livelihood;",,"Yorkshire Settlers;Legge, Francis 1719-1783;Emigration;Settlement;Fort Cumberland;Francklin, Michael;Jenny (Ship);Albion  (Ship);Lists",CA 2 NVPA R21 1935;|PF:  YORKSHIRE SETTLERS,"Government Publications;|W.P. Bell Collection of Acadiana, Pamphlet File;","A list and number of persons who have arrived in Nova Scotia from England since the beginning of May, 1774.",,In:,Nova Scotia. Public Archives.,Annual Report of the Public Archives of Nova Scotia
21,object00021,record,,,,,Judgement Glen,"Bird, Will R.",,,Toronto,Ryerson,,1947,,,,,Yorkshire settlers;Fiction;Westmorland County;Literature;Cumberland County,PS 8503 I68 J8,Jennie Johnson RBR,,,,"Bird, Will R.",Judgement Glen
22,object00022,record,,,,,Tristram's salvation,"Bird, Will R.",,,New York,Thomas Bouregy,,1957,,,,,Fiction;Westmorland County;Cumberland County;Yorkshire settlers;Literature,PS 8503 I68 T7 1957,W.P. Bell Collection of Acadiana,,,,"Bird, Will R.",Tristram's salvation
23,object00023,record,,,,,When Yorkshire came to Nova Scotia,"Bird, Will R.",Dalhousie Review,,,,Vol.27,1947,415-423,,,,Yorkshire Settlers;Cumberland County;Methodists;Westmorland County;Emigration;Land settlement,AP 5 D3,Journal Collection,When Yorkshire came to Nova Scotia,"Bird, Will R.",,,Dalhousie Review
24,object00024,record,,,,,Historical Record of the posterity of William Black who settled in this country in the year 1775: Also a sketch of 23 English families and some settlers from New England who settled at the head of the Bay of Fundy about the same time.,"Black, Cyrus",,,"Amherst, N.S.",Amherst Gazette Steam Printing House,,1885,209p,,,,"Yorkshire settlers;Black, William;Black family;Religion;Methodists;New England;Planters;Land settlement;Pointe De Bute;Westmorland County;Cumberland County;Missionaries;Churches",CS 90 B62 1885,W.P. Bell Collection of Acadiana,Historical Record of the posterity of William Black who settled in this country in the year 1775: Also a sketch of 23 English families and some settlers from New England who settled at the head of the Bay of Fundy about the same time.,"Black, Cyrus",,,
25,object00025,record,,,,,Historical record of the posterity of William Black who settled in this country in 1775 and was brought up to the year 1885 by Cyrus Black. The records from 1885 to 1959 were compiled by L.W. Black of Middle Sackville.,,,,"Sackville, N.B.",Tribune Press,,1959,"167, 11p",,,,"Yorkshire settlers;Black, William;Black Family;Land settlement;Methodists;Westmorland County;Cumberland County;Emigration;Missionaries;Religion;Churches",CS 90 B62 1959,W.P. Bell Collection of Acadiana,,,,,Historical record of the posterity of William Black who settled in this country in 1775 and was brought up to the year 1885 by Cyrus Black. The records from 1885 to 1959 were compiled by L.W. Black of Middle Sackville.
